Universe,N_Assets,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
Large-Cap (5 sectors),5,6.3865,0.1316,0.1307,-24.129,0.2647
Full Universe (11 sectors),11,11.3861,0.4825,0.4671,-15.2045,0.7489
